rank,name,club,position,price,role
73,TJ Leaf,Maccabi Tel Aviv,F,10.5,player
74,Trent Frazier,Virtus Bologna,G,10.5,player
75,Joel Bolomboy,ASVEL,C,10.4,player
76,Tadas Sedekerskis,Baskonia,F,10.4,player
77,Armoni Brooks,Valencia,G,10.3,player
78,Bruno Fernando,Anadolu Efes,C,10.3,player
79,Matthew Strazel,Anadolu Efes,G,10.3,player
80,Nathan Reuvers,Valencia,F,10.3,player
81,Andreas Obst,Bayern Munich,G,10.2,player
82,Jordan Loyd,Anadolu Efes,G,10.2,player
83,Oshae Brissett,Maccabi Tel Aviv,F,10.2,player
84,Umoja Gibson,Barcelona,G,10.2,player
85,Duane Washington,Bayern Munich,G,10.1,player
86,Ethan Thompson,Partizan,G,10.1,player
87,Jared Butler,Crvena Zvezda,G,10.1,player
88,Kyle Allman,Partizan,G,10.1,player
89,Mamadi Diakite,Dubai,C,10.1,player
90,Chris Duarte,Baskonia,G,10.0,player
91,Georgios Bartzokas,Olympiacos,HC,10.0,head_coach
92,Johnny Juzang,Fenerbahce,F,10.0,player
93,Kessler Edwards,Virtus Bologna,F,10.0,player
94,Nick Weiler-Babb,Crvena Zvezda,G,10.0,player
95,Zeljko Obradovic,Panathinaikos,HC,10.0,head_coach
96,Bobi Klintman,Virtus Bologna,C,9.9,player
97,David DeJulius,Besiktas,G,9.9,player
98,Devon Dotson,Besiktas,G,9.9,player
99,Marcus Carr,Virtus Bologna,G,9.9,player
100,Tremont Waters,ASVEL,G,9.9,player
101,Alize Johnson,Paris,F,9.8,player
102,Jacob Toppin,Hapoel Tel Aviv,F,9.8,player
103,Theo Maledon,Real Madrid,G,9.8,player
104,Anthony Brown,Besiktas,F,9.7,player
105,Devin Booker,Milano,C,9.7,player
106,Jaylen Nowell,Besiktas,G,9.7,player
107,Nigel Williams-Goss,Zalgiris,G,9.7,player
108,Antonio Blakeney,Hapoel Tel Aviv,G,9.6,player
109,Ercan Osmani,Anadolu Efes,F,9.6,player
110,Kobi Simmons,Baskonia,G,9.6,player
111,Marko Guduric,Milano,G,9.6,player
112,Tomas Satoransky,Hapoel Tel Aviv,G,9.6,player
113,Jae Crowder,ASVEL,F,9.5,player
114,Jimmy Clark III,Maccabi Tel Aviv,G,9.5,player
115,Kenneth Faried,Baskonia,C,9.5,player
116,Marek Blazevic,Zalgiris,C,9.5,player
117,Ebuka Izundu,Crvena Zvezda,C,9.4,player
118,Evan Fournier,Olympiacos,G,9.4,player
119,Jaron Blossomgame,Dubai,F,9.4,player
120,Mathis Dossou-Yovo,ASVEL,F,9.4,player
121,Tosan Evbuomwan,Barcelona,F,9.4,player
122,Maozinha Pereira,Paris,F,9.3,player
123,Mouhamet Diouf,Virtus Bologna,C,9.3,player
124,TyTy Washington,ASVEL,G,9.3,player
125,Jason Burnell,Milano,F,9.2,player
126,Damian Jones,Real Madrid,C,9.1,player
127,Isaia Cordinier,Anadolu Efes,G,9.1,player
128,Joffrey Lauvergne,Partizan,C,9.1,player
129,Olivier Sarr,Real Madrid,C,9.1,player
130,Stanley Umude,Barcelona,G,9.1,player
131,Chuma Okeke,Real Madrid,F,9.0,player
132,Gabriel Deck,Real Madrid,F,9.0,player
133,Garrison Mathews,Milano,G,9.0,player
134,Gonzalo Corbalan,Valencia,G,9.0,player
135,Jared Rhoden,Paris,G,9.0,player
136,Pedro Martinez,Real Madrid,HC,9.0,head_coach
137,Saras Jasikevicius,Fenerbahce,HC,9.0,head_coach
138,Vladimir Lucic,Bayern Munich,F,9.0,player
139,Kevin Kokila,Virtus Bologna,C,8.9,player
140,Miles Norris,Bayern Munich,F,8.9,player
141,AJ Lawson,Baskonia,G,8.8,player
142,DJ Stewart,Baskonia,G,8.8,player
143,Hugo Besson,ASVEL,G,8.8,player
144,Jerian Grant,Panathinaikos,G,8.8,player
145,Kai Jones,Anadolu Efes,C,8.8,player
146,Neal Sako,Valencia,C,8.8,player
147,Tyrese Martin,Barcelona,F,8.8,player
148,Yam Madar,Maccabi Tel Aviv,G,8.8,player
149,Both Gach,ASVEL,F,8.7,player
150,Darius Thompson,Milano,G,8.7,player
151,Jaime Pradilla,Real Madrid,F,8.7,player
152,Leandro Bolmaro,Milano,G,8.7,player
153,Mo Gueye,Valencia,F,8.7,player
154,Santi Yusta,Anadolu Efes,F,8.7,player
155,Wendell Moore Jr.,Virtus Bologna,G,8.7,player
156,Mady Sissoko,Besiktas,C,8.6,player
157,Rokas Jokubaitis,Bayern Munich,G,8.6,player
158,Saben Lee,Zalgiris,G,8.6,player
159,Conor Morgan,Besiktas,F,8.5,player
160,Dimitris Itoudis,Hapoel Tel Aviv,HC,8.5,head_coach
161,Omari Moore,Valencia,G,8.5,player
